name,manufacturer,type,calories,protein,fat,sodium,fiber,carbo,sugars,potass,vitamins,shelf,weight,cups,rating
"Nutri-Grain Almond-Raisin",K,C,140,3,2,220,3,21,7,130,25.00,3,1.33,0.67,40.69
"Nutri-Grain Wheat",K,C,90,3,0,170,3,18,2,90,25.00,3,1,1,59.64
"Oatmeal Raisin Crisp",G,C,130,3,2,170,1.5,13.5,10,120,25.00,3,1.25,0.5,30.45
"Post Nat. Raisin Bran",P,C,120,3,1,200,6,11,14,260,25.00,3,1.33,0.67,37.84
"Product 19",K,C,100,3,0,320,1,20,3,45,100.00,3,1,1,41.5
"Puffed Rice",Q,C,50,1,0,0,0,13,0,15,0.00,3,0.5,1,60.76
"Puffed Wheat",Q,C,50,2,0,0,1,10,0,50,0.00,3,0.5,1,63.01
"Quaker Oat Squares",Q,C,100,4,1,135,2,14,6,110,25.00,3,1,0.5,49.51
"Quaker Oatmeal",Q,H,100,5,2,0,2.7,-1,-1,110,0.00,1,1,0.67,50.83
"Raisin Bran",K,C,120,3,1,210,5,14,12,240,25.00,2,1.33,0.75,39.26
"Raisin Nut Bran",G,C,100,3,2,140,2.5,10.5,8,140,25.00,3,1,0.5,39.7
"Raisin Squares",K,C,90,2,0,0,2,15,6,110,25.00,3,1,0.5,55.33
"Rice Chex",R,C,110,1,0,240,0,23,2,30,25.00,1,1,1.13,42
"Rice Krispies",K,C,110,2,0,290,0,22,3,35,25.00,1,1,1,40.56
"Shredded Wheat",N,C,80,2,0,0,3,16,0,95,0.00,1,0.83,1,68.24
"Shredded Wheat 'n'Bran",N,C,90,3,0,0,4,19,0,140,0.00,1,1,0.67,74.47
"Shredded Wheat spoon size",N,C,90,3,0,0,3,20,0,120,0.00,1,1,0.67,72.8
"Smacks",K,C,110,2,1,70,1,9,15,40,25.00,2,1,0.75,31.23
"Special K",K,C,110,6,0,230,1,16,3,55,25.00,1,1,1,53.13
"Strawberry Fruit Wheats",N,C,90,2,0,15,3,15,5,90,25.00,2,1,1,59.36
"Total Corn Flakes",G,C,110,2,1,200,0,21,3,35,100.00,3,1,1,38.84
"Total Raisin Bran",G,C,140,3,1,190,4,15,14,230,100.00,3,1.5,1,28.59
"Total Whole Grain",G,C,100,3,1,200,3,16,3,110,100.00,3,1,1,46.66
"Triples",G,C,110,2,1,250,0,21,3,60,25.00,3,1,0.75,39.11
"Trix",G,C,110,1,1,140,0,13,12,25,25.00,2,1,1,27.75
"Wheat Chex",R,C,100,3,1,230,3,17,3,115,25.00,1,1,0.67,49.79
"Wheaties",G,C,100,3,1,200,3,17,3,110,25.00,1,1,1,51.59